name,matchweek,goals,assists,clean_sheets,minutes_played,points
Jaden Philogene-Bidace,1,0,0,0,3,1
Kalvin Phillips,1,0,0,0,0,0
Rodrigo Bentancur,1,0,0,0,0,0
Matty Cash,1,0,0,0,86,-1
Mason Holgate,1,0,0,0,0,0
Glen Rea,1,0,0,0,0,0
Jaidon Anthony,1,0,0,0,59,1
Tariq Lamptey,1,0,0,0,0,0
Joseph Anang,1,0,0,0,0,0
George Baldock,1,0,0,0,90,2
Jeff Hendrick,1,0,0,0,0,0
Mark Gillespie,1,0,0,0,0,0
Nélson Cabral Semedo,1,0,0,0,90,2
Kevin Mbabu,1,0,0,0,0,0
Tyrell Malacia,1,0,0,0,0,0
Chris Richards,1,0,0,0,0,0
Jordan Henderson,1,0,0,0,0,0
Kyle Walker,1,0,0,1,90,6
Jacob Brown,1,0,1,0,26,4
Vicente Guaita,1,0,0,0,0,0
Braian Ojeda Rodríguez,1,0,0,0,0,0
Mads Bech Sørensen,1,0,0,0,0,0
